"region","year","mean","lower","upper","model"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2022,4.12207948530969,1.63093350919696,6.62694926586029,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2023,4.16025011662885,1.48827068192911,6.9233474232757,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2024,4.08596515513892,1.45199214187572,6.58654308908487,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2025,4.10496648852656,1.48301772328855,6.37303500628903,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2026,4.07861561154032,1.64347010028467,6.65586396147377,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2027,4.11836241964743,1.81965387573623,6.56570269554644,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2028,4.1160240305333,1.71524219022973,6.60111730429057,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2029,4.08357771945032,1.54970656326537,6.74753353075426,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2030,4.05566033330872,1.61095235398232,6.60468900077689,"linear"
"Caucasus and Central Asia Oil Exporters",2020,4.76537236039282,-0.268981229517178,9.79972595030282,"arima"
"Caucasus and Central Asia Oil Exporters",2021,5.20702330164389,-1.04385053215225,11.45789713544,"arima"
"Caucasus and Central Asia Oil Exporters",2022,5.53207337857044,-1.287749212935,12.3518959700759,"arima"
"Caucasus and Central Asia Oil Exporters",2023,5.77130654359134,-1.3377165092714,12.8803295964541,"arima"
"Caucasus and Central Asia Oil Exporters",2024,5.94737943607323,-1.31348943322005,13.2082483053665,"arima"
"Caucasus and Central Asia Oil Exporters",2025,6.07696708527826,-1.26484231359743,13.418776484154,"arima"
"Caucasus and Central Asia Oil Exporters",2026,6.17234212336491,-1.21294069259207,13.5576249393219,"arima"
"Caucasus and Central Asia Oil Exporters",2027,6.24253706822141,-1.16618788298189,13.6512620194247,"arima"
"Caucasus and Central Asia Oil Exporters",2028,6.29419975043109,-1.12719240156722,13.7155919024294,"arima"
"Caucasus and Central Asia Oil Exporters",2029,6.3322228978038,-1.0960217949619,13.7604675905695,"arima"
"Caucasus and Central Asia Oil Exporters",2030,6.36020750244085,-1.07174643149957,13.7921614363813,"arima"
"Caucasus and Central Asia Oil Importers",2020,6.38838928754739,3.74846513037641,9.02831344471837,"arima"
"Caucasus and Central Asia Oil Importers",2021,6.31541484347988,3.41639454182909,9.21443514513068,"arima"
"Caucasus and Central Asia Oil Importers",2022,6.28229995282129,3.33275034489626,9.23184956074633,"arima"
"Caucasus and Central Asia Oil Importers",2023,6.2672728293215,3.30742517379217,9.22712048485084,"arima"
"Caucasus and Central Asia Oil Importers",2024,6.26045370849136,3.29848989264843,9.2224175243343,"arima"
"Caucasus and Central Asia Oil Importers",2025,6.25735927668632,3.29495988225161,9.21975867112103,"arima"
"Caucasus and Central Asia Oil Importers",2026,6.25595506220844,3.29346598003318,9.21844414438371,"arima"
"Caucasus and Central Asia Oil Importers",2027,6.25531784722873,3.29281029661333,9.21782539784413,"arima"
"Caucasus and Central Asia Oil Importers",2028,6.25502868703507,3.29251733335558,9.21754004071455,"arima"
"Caucasus and Central Asia Oil Importers",2029,6.2548974697532,3.29238533293559,9.21740960657081,"arima"
"Caucasus and Central Asia Oil Importers",2030,6.25483792499069,3.29232562690688,9.21735022307451,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2020,3.54628041680758,-1.94716867573517,9.03972950935033,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2021,3.63883139248992,-1.8562097640803,9.13387254906013,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2022,3.64105975157398,-1.8539823277927,9.13610183094066,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2023,3.64111340399818,-1.85392867590345,9.13615548389982,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2024,3.64111469579296,-1.85392738410899,9.1361567756949,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2025,3.64111472689563,-1.85392735300631,9.13615680679757,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2026,3.64111472764449,-1.85392735225745,9.13615680754643,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2027,3.64111472766252,-1.85392735223942,9.13615680756446,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2028,3.64111472766296,-1.85392735223899,9.1361568075649,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2029,3.64111472766297,-1.85392735223898,9.13615680756491,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2030,3.64111472766297,-1.85392735223898,9.13615680756491,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2020,3.02614213561191,-1.57795167747467,7.63023594869849,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2021,3.74055597008532,-1.07127411032579,8.55238605049643,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2022,3.95757275413495,-0.872976126197982,8.78812163446789,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2023,4.02349572802859,-0.808776786814747,8.85576824287193,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2024,4.04352108462031,-0.788910448670262,8.87595261791088,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2025,4.0496041673901,-0.782842039161332,8.88205037394152,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2026,4.05145201942781,-0.780995541105495,8.88389957996112,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2027,4.05201333961406,-0.780434345858733,8.88446102508686,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2028,4.05218385129198,-0.780263845709686,8.88463154829364,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2029,4.05223564745577,-0.780212050609729,8.88468334552127,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2030,4.05225138152522,-0.780196316638439,8.88469907968889,"arima"
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",2020,3.57493349738746,1.79016791844579,5.35969907632913,"arima"
