"region","mean_pre","mean_post","t_statistic","p_value"
"Caucasus and Central Asia Oil Exporters",6.78446838383913,3.28255597807205,3.14391902584235,0.0038289346385872
"Caucasus and Central Asia Oil Importers",6.33100667250768,5.77907660757143,0.688852817595857,0.501635393356888
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",3.64354393665102,2.54227732654397,1.3183402027001,0.197883757624618
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",4.07904860893485,2.96249187257263,1.15604758319289,0.261142735316338
"Middle East and North Africa, Afghanistan, Pakistan Oil Importers",4.08850918439239,3.42925010563133,1.06731197665508,0.302112132974307
